Date,Open,High,Low,Close,Volume
2022-10-17,6.8725,6.8725,6.8675,6.8675,17093
2022-10-18,7.1825,7.1825,7.0925,7.0925,20991
2022-10-19,7.12,7.12,7.0625,7.0625,218
2022-10-20,7.135,7.135,7.0775,7.0775,815
2022-10-21,7.13,8.5,7.13,8.5,4837
2022-10-24,8.115,8.115,7.5775,7.5775,1324
2022-10-25,7.5,7.52,7.5,7.52,574
2022-10-26,7.34,7.745,7.34,7.745,3407
2022-10-27,7.7525,7.7525,7.7,7.7,145
2022-10-28,7.5575,7.7525,7.5575,7.7525,6553
2022-10-31,8.0775,8.0775,8.0775,8.0775,0
2022-11-01,8.01,8.0525,8.01,8.0525,5801
2022-11-02,8.0825,8.1725,8.0825,8.1725,16754
2022-11-03,8.4775,8.4775,8.1775,8.1775,5598
2022-11-04,7.9,7.935,7.9,7.935,269
2022-11-07,7.9775,8.12,7.9775,8.12,8129
2022-11-08,8.2,8.7825,8.2,8.7825,15713
2022-11-09,8.7925,8.7925,8.4825,8.4825,2719
2022-11-10,8.62,8.8675,8.62,8.8675,812
2022-11-11,9.11,9.6425,9.11,9.6425,9431
2022-11-14,9.755,9.755,9.585,9.585,25073
2022-11-15,9.5375,9.5375,9.145,9.145,9645
2022-11-16,9.3825,9.3825,8.52,8.52,1965
2022-11-17,8.1725,8.1725,8.1725,8.1725,0
2022-11-18,8.1925,8.1925,8.0825,8.0825,3781
2022-11-21,8.3525,8.3525,8.025,8.025,2531
2022-11-22,8.3525,8.3525,7.8525,7.8525,1835
2022-11-23,8.3,8.3,7.92,7.92,8833
2022-11-24,8.3525,8.435,8.3525,8.435,2471
2022-11-25,8.5525,8.5525,8.54,8.54,1824
2022-11-28,8.5725,8.5725,8.335,8.335,8815
2022-11-29,8.0875,8.5675,8.0875,8.5675,1998
2022-11-30,8.5575,8.5575,7.9825,7.9825,1303924
2022-12-01,8.0575,8.4,8.0575,8.4,26963
2022-12-02,8.935,8.935,8.935,8.935,0
2022-12-05,9.01,9.01,8.5675,8.5675,536
2022-12-06,8.245,8.245,8.14,8.14,15900
2022-12-07,8.13,8.13,8.12,8.12,54909
2022-12-08,8.445,8.445,8.0875,8.0875,1751
2022-12-09,8.3525,8.3525,8.305,8.305,429
2022-12-12,8.3825,8.3925,8.3825,8.3925,142
2022-12-13,8.6,8.635,8.6,8.635,14781
